pointer_offsets;pointer_value;separators;extract
0xD56A4C;0x00976C68;00 00;Titan of the Beam Rifle
0xD5C4B0;0x00976CAC;00 00;Titan of the Capturing Arm
0xD52334;0x00976CE8;00 00 00 00;Titan of the Pyroxene Mine
0xD71648;0x00976D28;00 00 00 00;Dark Lord of Pale Moon
0xD45D90;0x00976D64;00 00 00 00;Messegal Seeker
0xD45C24;0x00976D8C;00 00 00 00;Bladgal Seeker
0xD60478;0x00976DB4;00 00 00 00;Bravogal Seeker
0xD5D454;0x00976DDC;00 00 00 00;Sibergal Seeker
0xD5CFDC;0x00976E04;00 00 00 00;Grynngal Seeker
0xD45B88,0xD5CD04,0xD5E050,0xD5E2C0,0xD635A0;0x00976E2C;00 00;Blaster Blade Seeker
0xD4476C;0x00976E5C;00 00 00 00;Zoigal Liberator
0xD54C3C;0x00976E88;00 00 00 00;Flogal Liberator
0xD62F54;0x00976EB4;00 00 00 00;Chikgal Liberator
0xD570CC;0x00976EE0;00 00 00 00;Barcgal Liberator
0xD5EE20;0x00976F0C;00 00;Ketchgal Liberator
0xD62EEC;0x00976F38;00 00 00 00;Mertgal Liberator
0xD4630C;0x00976F64;00 00 00 00;Hantgal Liberator
0xD463DC;0x00976F90;00 00 00 00;Bordgal Liberator
0xD5E7D4;0x00976FBC;00 00 00 00;Koronagal Liberator
0xD5A9E0;0x00976FE8;00 00 00 00;Naapgal Liberator
0xD5ED1C;0x00977014;00 00 00 00;Nalegal Liberator
0xD44808;0x00977040;00 00 00 00;Pomerugal Liberator
0xD5A80C;0x0097706C;00 00 00 00;Dolgal Liberator
0xD54554,0xD55700,0xD71D64,0xD71D98,0xD72890;0x00977098;00 00 00 00;Wingal Liberator
0xD44704,0xD55734;0x009770C4;00 00;Blaster Blade Liberator
0xD448A4;0x009770F8;00 00;Strike Liberator
0xD44870;0x00977128;00 00 00 00;Angelic Liberator
0xD4490C;0x00977160;00 00;Fortune Liberator
0xD44940;0x00977194;00 00;Elixir Liberator
0xD655B8;0x009771C4;00 00;Machining Scorpion mkII
0xD73320;0x009771F8;00 00;Machining Hornet mkII
0xD655EC;0x0097722C;00 00;Machining Mosquito mkII
0xD732EC;0x00977260;00 00 00 00;Machining Tarantula mkII
0xD5774C;0x00977298;00 00;Jacbau Revenger
0xD5B8E8;0x009772C4;00 00;Judgebau Revenger
0xD44E20;0x009772F0;00 00 00 00;Koilbau Revenger
0xD6C404;0x0097731C;00 00 00 00;Haarbau Revenger
0xD5781C;0x00977348;00 00 00 00;Spinbau Revenger
0xD44F24;0x00977374;00 00 00 00;Branbau Revenger
0xD44DEC,0xD58584;0x009773A0;00 00 00 00;Blaster Dark Revenger (No Ability)
0xD6C300;0x009773D4;00 00;Redmyu Revenger
0xD44FF4;0x00977400;00 00;Awaking Revenger
0xD44FC0,0xD6C508;0x00977438;00 00 00 00;Freezing Revenger
0xD45028;0x0097746C;00 00;Healing Revenger
0xD44F8C;0x009774A0;00 00 00 00;Grim Revenger
0xD67B4C;0x009774D0;00 00 00 00;Flash Edge Valkyrie
0xD67BB4;0x0097750C;00 00;Blade Feather Valkyrie
0xD54544;0x00977544;00 00;@42†BT10 Knight King Triumph†@40†Now's the perfect chance! Everyone, follow me!†@41†MORUGA
0xD55D70;0x00977600;00 00;@42†BT11 Wyrm Unleashed†@40†Slice and dice, Blaze Longsword! Volcanino!†Death Grave!†@41†MORUGA
0xD45908;0x009776C8;00 00 00 00;@42†TD13 Heir to the Legendary Artifact†@40†Wandering souls seek light. The war maiden seeks that†Light.†@41†MORUGA
0xD5467C;0x009777B4;00 00 00 00;@42†BT10 Knight King Triumph†@40†Let us pray. May wandering spirits find their way home.†like that.†@41†MORUGA
0xD598F4;0x00977874;00 00 00 00;@42†BT13 Cataclysm Chaos†@40†For today, I'll go easy on you with some skewered rules.†rule.†@41†MORUGA
0xD56730;0x00977924;00 00 00 00;@42†BT11 Wyrm Unleashed†@40†The greatbow of dragon bone and tendon. Only warriors of great strength may wield it.†To control that.†@41†MORUGA
0xD52E1C;0x00977A1C;00 00 00 00;@42†BT09 Dragon Knight Clash†@40†When the sailor understood the raging wind, he was caught in the storm.†Hm.†@41†MORUGA
0xD52F88;0x00977B04;00 00;@42†BT09 Dragon Knight Clash†@40†There's no longer a return to that star. They are, in the galaxy,†I am a wanderer.†@41†TOUMA
0xD67968;0x00977BD4;00 00;@42†EB03 Black Steel Battle Knight†@40†Dig! Dig! Dig! Digggg!!†Uhh!!!†@41†NAKAGAWA
0xD4F744;0x00977C9C;00 00 00 00;@42†BT06 Limit Break†@40†MORE ZATT GRUELEI†OOOOh!!!†@41†NAKAGAWA
0xD72470;0x00977D30;00 00 00 00;@42†ＰＲ†@40†Oh heavens and winds, descend upon my soul! My†Name is...!†@41†NAKAGAWA
0xD4EAE0;0x00977DF8;00 00 00 00;@42†BT06 Limit Break†@40†Hold high the sword of lightning! Our destiny is ours to shape!†There it is!†@41†NAKAGAWA
0xD44658;0x00977ECC;00 00 00 00;@42†TD08 Sanctuary Liberator†@40†Comrade, let's go together! Gold Rising!†Bang!†@41†NAKAGAWA
0xD54474;0x00977F90;00 00 00 00;@42†BT10 Knight King Triumph†@40†Dear friend, let's go now! Silver Dolphin†Uuuh End!†@41†NAKAGAWA
0xD48314;0x00978050;00 00;@42†Rise to Royalty†@40†Dear friend, let's go now! Silver Dolphin†Uuuh End!†@41†NAKAGAWA
0xD56D7C;0x00978100;00 00 00 00;@42†BT11 Wyrm Unleashed†@40†Become the钉锤 of destiny's downfall, Dooms...†Anchor!†@41†NAKAGAWA
0xD581CC;0x009781BC;00 00 00 00;@42†BT12 Black Ring Shackles†@40†The stage stands on trust. (It's impossible.†It'll fall!)†@41†NAKAGAWA
0xD580C8;0x00978288;00 00 00 00;@42†BT12 Black Ring Shackles†@40†The stage is supported by trust. (ah, hand)†I'm so lazy.)†@41†NAKAGAWA
0xD50104;0x00978350;00 00;@42†BT07 Beast King Burst Advance†@40†Where would you like to aim it?†@41†NAKAGAWA
0xD6FCA0;0x009783DC;00 00;@42†G-FC01 Fighter's Collection†2015†@40†Give up your烦恼．that is the path to Nirvana．†Also.†@41†NAKAGAWA
0xD558C4;0x009784B8;00 00 00 00;@42†BT11 Wyrm Unleashed†@40†I am Anchor... I change destiny by the flow of time†Roku Karyu.†@41†NAKAGAWA
0xD5A900;0x009785AC;00 00 00 00;@42†BT14 Lightning Glare†@40†That nature, fierce and bold.†@41†NAKAGAWA
0xD6FF78;0x0097864C;00 00;@42†G-FC01 Fighter's Collection†2015†@40†The criminal syndicate's改造 technology has finally tapped into divine power.†produced it.†@41†NAKAGAWA
0xD64088;0x00978744;00 00 00 00;@42†G-BT03 Sovereign Dragon Star†@40†Night falls. Ah, time for relaxation.†@41†NAKAGAWA
0xD730A0;0x00978808;00 00;@42†ＰＲ†@40†The snake's skin is a sign of luck. See, it brings blessings.†It must be a mistake.†@41†NAKAGAWA
0xD5C028;0x009788C8;00 00;@42†BT15 Infinite Rebirth†@40†To inflict despair merely by showing its form. That†It's a dragon.†@41†NAKAGAWA
0xD55DD8;0x0097898C;00 00 00 00;@42†BT11 Wyrm Unleashed†@40†My spell to seal your magic... and now I play it.†Don't think this means safety yet.†@41†NAKAGAWA
0xD59004;0x00978A7C;00 00 00 00;@42†BT13 Cataclysm Chaos†@40†That is the狱卒 from the underworld, known as Gou-tou Gui.†@41†NAKAGAWA
0xD5D09C;0x00978B4C;00 00;@42†BT16 Dragon Sword Dual Combat†@40†Don't get it? I'm selling you a fight.†It is, okay.†@41†NAKAGAWA
0xD657E4;0x00978BE4;00 00 00 00;@42†G-BT04 Divine Soul Assault†@40†Let's jump high. It will definitely reach the future.†@41†NAKAGAWA
0xD641F4;0x00978C9C;00 00;@42†G-BT03 Sovereign Dragon Star†@40†The lion's ambition is something only a lion can understand.†@41†NAKAGAWA
0xD5F4C4;0x00978D58;00 00;@42†BT17 Inferno Dance†@40†The Star辉Soldier utilizes all resources.†@41†NAKAGAWA
0xD50854;0x00978E14;00 00 00 00;@42†BT07 Beast King Burst Advance†@40†Nightmares are wonderful. They promise a happy morning.†Thank you for helping.†@41†NAKAGAWA
0xD47A58;0x00978EEC;00 00;@42†MTD01 Extirpator of Malevolent Stars†@40†Gather them. Cry out in resentment.†@41†NAKAGAWA
0xD4F848;0x00978F98;00 00 00 00;@42†BT06 Limit Break†@40†Pip pip pip pip! Red Card!†!!†@41†ZB
0xD4B984;0x00979014;00 00 00 00;@42†BT03 Mage Lord Invasion†@40†Analysis complete! Total force, counterattack formation.†Hm!†@41†ZB
0xD44380;0x009790CC;00 00;@42†TD07 Descendant of the Sea King†@40†In that era, Aqua Force ruled over all the seas.†Conquered it.†@41†ZB
0xD67AA0;0x00979190;00 00 00 00;@42†EB03 Black Steel Battle Knight†@40†The Machining Series is already a staple怪†Became one of its corners.†@41†ZB
0xD68224;0x00979254;00 00 00 00;@42†EB04 Illusory Army†@40†The history of Nova Grapple Machine is by him,†It started from here.†@41†ZB
0xD43618;0x0097930C;00 00 00 00;@42†TD03 Golden War Machine†@40†They are the beginning of the Nova Grappler machine.†It's both a progenitor and a completion form.†@41†ZB
0xD4A73C;0x009793D4;00 00;@42†BT02 Dragon Soul Chaos Dance†@40†They are the beginning of the Nova Grappler machine.†It's both a progenitor and a completion form.†@41†ZB
0xD4DD10;0x00979490;00 00 00 00;@42†BT05 Dual Sword Awakening†@40†When I woke up, you were on my face. Well, fly†I'll wake up, you know it.†@41†ZB
0xD4F7AC;0x0097955C;00 00 00 00;@42†BT06 Limit Break†@40†The moment the critical technique is unleashed, the audience simultaneously shouts out its name†to cry out.†@41†ZB
0xD68258;0x0097964C;00 00;@42†EB04 Illusory Army†@40†The moment he raised his right hand! The audience†Shout out the skill name!†@41†ZB
0xD4CE08;0x0097974C;00 00 00 00;@42†BT04 Shadow Devourer†@40†Bo-bo-bo-boooooo～. Deep bass from the stands.†Echoes through the air.†@41†ZB
0xD689DC;0x00979814;00 00 00 00;@42†EB05 Divine Vanguards†@40†Counterattack complete! Sending battle report.†Slash.†@41†ZB
0xD66D04;0x009798DC;00 00;@42†EB01 Comic Style vol. 1†@40†They unleash their maximum performance at the moment of attack.†Activate it.†@43†Akira Ito†@41†ZB
0xD70400,0xD72E0C;0x009799C8;00 00 00 00;Claudia
0xD48768,0xD49774,0xD68880;0x009799D8;00 00;Battle Sister, Cocoa
0xD50E14;0x009799F0;00 00 00 00;Battle Sister, Eclair
0xD5F768;0x00979A0C;00 00 00 00;"@42†BT17 Inferno Dance†@40†Both enemies and allies think alike. ""Ah, I thought so.""†""Rapid Speed!""†@41†Miyu Taniguchi"
0xD59F74;0x00979AD4;00 00 00 00;@42†BT14 Lightning Glare†@40†Sky and Thunder Shield, defend against all evil and calamity†Smash it away!†@41†Miyu Taniguchi
0xD71F90;0x00979BC4;00 00 00 00;@42†ＰＲ†@40†Hi there! Isn't it?†Genesis here!†@41†Miyu Taniguchi
0xD6F3E4;0x00979C24;00 00;@42†FC02 Fighters Collection†2014†@40†This one too, this one too, this one too, this one too! And the rest too!†It's all on me!†@41†Miyu Taniguchi
0xD61C2C;0x00979CD4;00 00;@42†G-BT02 Windflower Sky Ascend†@40†Well, we've gotten quite excited, haven't we!†@41†Miyu Taniguchi
0xD46190;0x00979D70;00 00;@42†TD15 Friendship's Brawler†@40†Yaruki chuu～ten～! 1 million pawa～!†@41†Miyu Taniguchi
0xD542A0;0x00979E28;00 00 00 00;@42†BT10 Knight King Triumph†@40†Let me play the beautiful counter melody for you.†Bang!†@41†Miyu Taniguchi
0xD5BFF4;0x00979EE0;00 00;@42†BT15 Infinite Rebirth†@40†If you're going to do it, do it thoroughly. I mean, that sort of thing.†Stop.†@43†Takashi Matsushima†@41†Miyu Taniguchi
0xD53670;0x00979F68;00 00 00 00;@42†BT09 Dragon Knight Clash†@40†Sigh. Alright, I'll clean up after myself.†It should be okay, right?†@41†Miyu Taniguchi
0xD46BEC;0x0097A000;00 00 00 00;@42†G-TD01 Time-Space Dragon Awakened†@40†You feel like your belly bug is raging, right?†@41†Miyu Taniguchi
0xD4608C;0x0097A0BC;00 00 00 00;@42†TD15 Friendship's Brawler†@40†It's spicy, huh?†@41†Miyu Taniguchi
0xD6C5C8;0x0097A130;00 00;@42†EB11 Lament for the Twilight Dead†@40†If you're tired, take a short break. Look, you're energized!†Didn't you become...?†@41†Miyu Taniguchi
0xD717A4;0x0097A1F8;00 00;@42†ＰＲ†@40†Is milk good for you?†@41†Miyu Taniguchi
0xD64978;0x0097A248;00 00 00 00;@42†G-BT03 Sovereign Dragon Star†@40†They are irregulars. Continuously betrayed.†Entity.†@41†Miyu Taniguchi
0xD69848;0x0097A300;00 00;@42†EB07 Mystic Prophet†@40†The moon is fickle. Today's girlfriend is in a crescent moon mood.†@41†Miyu Taniguchi
0xD45150;0x0097A3E4;00 00 00 00;@42†TD11 Invader Star Radiant Soldier†@40†Deviation from reason. That is the curse.†@41†Miyu Taniguchi
0xD5906C;0x0097A498;00 00 00 00;@42†BT13 Cataclysm Chaos†@40†Strong ones don't always win. Chance too.†He who creates and doesn't let go wins.†@41†Miyu Taniguchi
0xD4593C;0x0097A598;00 00;@42†TD13 Heir to the Legendary Artifact†@40†The voice of an angel reaches the heart, not the ears.†Stop.†@41†Miyu Taniguchi
0xD73F0C;0x0097A66C;00 00;@42†ＰＲ†@40†That's right, it's the Golden Knight thanks to its grace and elegance.†@41†Miyu Taniguchi
0xD57158;0x0097A6DC;00 00 00 00;@42†BT12 Black Ring Shackles†@40†Sorry, but we have different rules from here on out.†@41†Miyu Taniguchi
0xD484B4;0x0097A768;00 00;@42†Rise to Royalty†@40†Knights smile. Hiding tears, they turn them into power.†For saying that.†@41†Miyu Taniguchi
0xD6A820;0x0097A850;00 00;@42†EB09 Genesis Dragon God†@40†The dragon roars. A new era dawns.†To declare.†@41†Miyu Taniguchi
0xD73A60;0x0097A91C;00 00 00 00;@42†ＰＲ†@40†Time should be saved. Even when operating.†neh.†@41†Miyu Taniguchi
0xD58E30;0x0097A9B0;00 00;@42†BT13 Cataclysm Chaos†@40†I think you should just wash it.†@41†Miyu Taniguchi
0xD679D0;0x0097AA3C;00 00 00 00;@42†EB03 Black Steel Battle Knight†@40†From the moment the game starts, everything is his.†As planned.†@41†Miyu Taniguchi
0xD5F254;0x0097AB1C;00 00 00 00;@42†BT17 Inferno Dance†@40†The Flame Maiden stirs the ancient dragon's blood to boil.†rule.†@41†Miyu Taniguchi
0xD52490;0x0097ABEC;00 00 00 00;@42†BT08 Azure Gale Fleet†@40†Opportunity visits those who endure and bear hardship.†rule.†@41†Miyu Taniguchi
0xD46FFC;0x0097ACAC;00 00 00 00;@42†G-TD02 Starlight Knight†@40†Skyhorse boosts the knight's power.†@41†Miyu Taniguchi
0xD54BC4;0x0097AD6C;00 00;@42†BT10 Knight King Triumph†@40†My steed's mane flows, responding to the king's calm heart.†The crab burns.†@41†Miyu Taniguchi
0xD57F5C;0x0097AE44;00 00 00 00;@42†BT12 Black Ring Shackles†@40†Our clan, we dedicate our whole body and soul to you.†@41†Miyu Taniguchi
0xD523C0;0x0097AF04;00 00 00 00;@42†ＢＴ０８<|蒼嵐艦隊|そうらんかんたい|>†@40†<|実戦経験|じっせんけいけん|>だけが､<|勝利|しょうり|>への<|道程|みちのり|>を<|教|おし|>え†てくれる｡†@41†田口美穂
0xD562EC;0x0097AFD0;00 00 00 00;@42†BT11 Wyrm Unleashed†@40†This is a magic book. All the answers are written here.†It's set up.†@41†Miyu Taniguchi
0xD5BEF0;0x0097B098;00 00 00 00;@42†BT15 Infinite Rebirth†@40†My spear calls forth flashes of light. It tears through limits.†Holy light.†@41†Miyu Taniguchi
0xD72008;0x0097B198;00 00;Battle Sister, Candy
0xD708D0;0x0097B1B4;00 00;@42†ＭＢ†@40†Even love can sometimes hurt someone.†@43†Kazuyuki Ishii†@41†Telmii
0xD571F4;0x0097B248;00 00;@42†BT12 Black Ring Shackles†@40†Haha! I can't forgive such an attack!†@41†Telmii
0xD6F3B0;0x0097B2DC;00 00 00 00;@42†FC02 Fighters Collection†2014†@40†True self revealed, seeker! Hidden ones, awaken!†Exert your full power!†@41†Telmii
0xD50068;0x0097B3DC;00 00;@42†BT07 Beast King Burst Advance†@40†Looking down on my genius is impolite.†Ah!†@41†Telmii
0xD4EF58;0x0097B488;00 00 00 00;@42†BT06 Limit Break†@40†Ah! Trouble!†@41†Telmii
0xD55C38;0x0097B500;00 00;@42†BT11 Wyrm Unleashed†@40†Look, even adults cry sometimes.†Hey!†@41†Telmii
0xD44930;0x0097B5A4;00 00 00 00;@42†TD08 Sanctuary Liberator†@40†Well, follow me!†@41†Telmii
0xD52B78;0x0097B61C;00 00 00 00;@42†BT09 Dragon Knight Clash†@40†Is everything an enemy? Hmph! Then, I'll cut it all down.†Until the end!†@41†Telmii
0xD6C358;0x0097B6D4;00 00;@42†EB11 Lament for the Twilight Dead†@40†Hey stress relief! Hurry and escape!†@41†Telmii
0xD43E6C;0x0097B784;00 00 00 00;@42†TD05 Silver Wolf's Claws Strike†@40†Let's go!†@41†Telmii
0xD71158;0x0097B7F0;00 00;@42†ＰＲ†@40†The First Blade shatters bone, and the Second Blade slashes darkness!†@41†Telmii
0xD45D80;0x0097B8AC;00 00;@42†TD14 Hope Explorer†@40†Pierce through and show it off!†@41†Telmii
0xD6EFD4;0x0097B934;00 00;@42†FC01 Fighters Collection†2013†@40†Fibers of Life! Dance in the wind and grant us your power!†@41†Telmii
0xD54440;0x0097BA04;00 00;@42†BT10 Knight King Triumph†@40†S·P·I·K·E! Wearth Spike Blaster†Zards!†@41†Telmii
0xD5BDEC;0x0097BAC4;00 00;@42†BT15 Infinite Rebirth†@40†If you work hard?†@41†Telmii
0xD459A4;0x0097BB28;00 00;@42†TD13 Heir to the Legendary Artifact†@40†Why apples are called forbidden fruit is known.†are there?†@41†Telmii
0xD6C080;0x0097BBFC;00 00;@42†EB11 Lament for the Twilight Dead†@40†You're attacking someone, ready to counterattack?†Isn't it supposed to be?†@41†Telmii
0xD52CB0;0x0097BCD0;00 00 00 00;@42†BT09 Dragon Knight Clash†@40†What is the scariest thing about you? Example†Well you see...†@41†Telmii
0xD63EE8;0x0097BD98;00 00;@42†G-BT03 Sovereign Dragon Star†@40†She is my lover. So, sweet predator.†@41†Telmii
0xD5C3D0;0x0097BE70;00 00 00 00;@42†BT15 Infinite Rebirth†@40†Even if you forget, I won't forget you.†None.†@41†Telmii
0xD5FF54;0x0097BF44;00 00;@42†G-BT01 Time-Space Transcendence†@40†A huge weapon can't be handled with force alone.†@41†Telmii
0xD55B68;0x0097C004;00 00;@42†BT11 Wyrm Unleashed†@40†The emerald shield cannot be shattered.†@41†Telmii
0xD4D31C;0x0097C08C;00 00;@42†BT05 Dual Sword Awakening†@40†Those who see the beautiful flower snow will all become enemies.†To lose one's intent.†@41†Telmii
0xD63C10;0x0097C178;00 00;@42†G-BT03 Sovereign Dragon Star†@40†The blue flame will surely be passed on to the next generation.†@41†Telmii
0xD6CAA8;0x0097C23C;00 00 00 00;@42†EB12 Goddess's Round Dance†@40†Interdimensional Multiplication-Type Egg Carrier Model II... Pray...†I understand, for sure.†@41†Telmii
0xD60670;0x0097C324;00 00;@42†G-BT01 Time-Space Transcendence†@40†This is a warning. Next time, it will be like a bee hive.†@41†Telmii
0xD465D4;0x0097C3DC;00 00;@42†TD17 Resolution Dragon Curse†@40†This is power.†@41†Telmii
0xD71088;0x0097C45C;00 00;@42†ＰＲ†@40†So, they are undoubtedly Artifacts.†It's aスト.†@41†Telmii
0xD50138;0x0097C4C8;00 00;@42†BT07 Beast King Burst Advance†@40†So, they are undoubtedly Artifacts.†It's aスト.†@41†Telmii
0xD6396C;0x0097C55C;00 00;@42†G-BT03 Sovereign Dragon Star†@40†This is the Dragon Empire. Living means fighting.†thing.†@41†Telmii
0xD5A934;0x0097C618;00 00 00 00;@42†BT14 Lightning Glare†@40†Now, I repay your favor. Teach me the meaning of bonds.†To you who gave it.†@41†Telmii
0xD50208;0x0097C700;00 00;@42†BT07 Beast King Burst Advance†@40†Love takes everything without limit, while affection gives all.†The one who can speak.†@41†Telmii
0xD58D94;0x0097C7D4;00 00;@42†BT13 Cataclysm Chaos†@40†The environment changes. Adapt accordingly.†To call this evolution.†@41†Telmii
0xD465A0;0x0097C8A8;00 00 00 00;@42†TD17 Resolution Dragon Curse†@40†This world will fall to the barrage.†@41†Telmii
0xD57054;0x0097C954;00 00;@42†BT12 Black Ring Shackles†@40†You're not a helpless princess, you know. Fight!†I'll go easy on you.†@41†Telmii
0xD5FE84;0x0097C9F8;00 00 00 00;@42†G-BT01 Time-Space Transcendence†@40†Oh... that's not allowed.†@41†Telmii
0xD53F94;0x0097CA70;00 00 00 00;@42†BT09 Dragon Knight Clash†@40†She is strict with sin but kind to people. She battles.†Because I'm a sister.†@41†Telmii
0xD58E64;0x0097CB40;00 00;@42†BT13 Cataclysm Chaos†@40†Service yo.卷起来给你。†rule.†@41†Telmii
0xD515BC;0x0097CBC4;00 00 00 00;@42†BT08 Azure Gale Fleet†@40†The azure knight upholds order, and the emerald shield is the knight.†to protect.†@41†Telmii
0xD72DFC;0x0097CCB8;00 00;@42†ＰＲ†@40†Her prayer grants power to all life.†Say.†@41†Telmii
0xD473D8;0x0097CD58;00 00;@42†G-TD03 Pure Maiden of Innocent Flowers†@40†I'll tell you the secret of life.†@41†Telmii
0xD4726C;0x0097CE08;00 00;@42†G-TD03 Pure Maiden of Innocent Flowers†@40†The fairy promises certain bountiful收获†@41†Telmii
0xD444EC;0x0097CECC;00 00;@42†TD07 Descendant of the Sea King†@40†Beautiful歌声 can turn the tide of battle.†@41†Telmii
0xD5CBBC;0x0097CF9C;00 00;@42†BT16 Dragon Sword Dual Combat†@40†They pursue true freedom with unwavering dedication.†The path to victory.†@41†Telmii
0xD45BE0;0x0097D094;00 00 00 00;@42†TD14 Hope Explorer†@40†They continue to seek with dignity. True victory.†The path to victory.†@41†Telmii
0xD6688C;0x0097D19C;00 00 00 00;@42†EB01 Comic Style vol. 1†@40†Rushing like a ghost, moving freely everywhere! Brilliant Hero†Debut!†@43†Akira Ito†@41†Telmii
0xD69814;0x0097D270;00 00;@42†EB07 Mystic Prophet†@40†This is the power promised to you!†@43†Akira Ito†@41†Telmii
0xD66928;0x0097D318;00 00;@42†EB01 Comic Style vol. 1†@40†When the messenger of light descends, the promised victory shall come.†The benefit is realized.†@43†Akira Ito†@41†Telmii
0xD4FDD4;0x0097D420;00 00 00 00;Magician of Quantum Mechanics
0xD68C28,0xD69C00;0x0097D464;00 00;Battle Sister, Chai
0xD4EA44;0x0097D47C;00 00 00 00;"@42†BT06 Limit Break†@40†The enemy fears her with all their heart, ""Cataclysmic Arcana""†Call them ""Swordsman.""†@41†Arazimumirai"
0xD68AE0;0x0097D57C;00 00 00 00;@42†EB05 Divine Vanguards†@40†It's important to keep watching. Truth lies hidden.†It's not a burst.†@41†Yamamura Kaitetsu
0xD4A638;0x0097D650;00 00;@42†BT02 Dragon Soul Chaos Dance†@40†Knowledge is power.†@41†Yamamura Kaitetsu
0xD6E2D4;0x0097D6CC;00 00 00 00;@42†G-CB01 Song Maiden Academy†@40††@41†Spring Summer Winter Yuu
0xD6D97C;0x0097D730;00 00 00 00;@42†G-CB01 Song Maiden Academy†@40†Gently floating... mysterious polka dots.†@41†Spring Summer Winter Yuu
0xD46B84;0x0097D7D4;00 00;@42†G-TD01 Time-Space Dragon Awakened†@40†Steam Knuckle!†@41†Yoshiro Anbe
0xD63D7C;0x0097D854;00 00;@42†G-BT03 Sovereign Dragon Star†@40†In the color of Yuki's hair, I gently write violet flowers on cherry blossoms.†@41†Yoshiro Anbe
0xD61B28;0x0097D908;00 00;@42†G-BT02 Windflower Sky Ascend†@40†First, let me be your opponent.†@41†Yoshiro Anbe
0xD6D3CC;0x0097D9A0;00 00;@42†G-EB01 Cosmic Roar†@40†Night is a time for rest. Keep out, interference.†I won't allow it.†@41†Yoshiro Anbe
0xD65984;0x0097DA80;00 00 00 00;@42†G-BT04 Divine Soul Assault†@40†Kindness is the best medicine, you know.†@41†Yoshiro Anbe
0xD695B4,0xD69CD0;0x0097DB28;00 00 00 00;Battle Sister, Parfait
0xD68AAC;0x0097DB44;00 00 00 00;@42†EB05 Divine Vanguards†@40†I'm pretty solid defensively, you know.†neh.†@41†Ryota-H
0xD50F70;0x0097DBF4;00 00 00 00;@42†BT07 Beast King Burst Advance†@40†That gaze directly meets the future.†Exist.†@41†Ryota-H
0xD6842C;0x0097DCB0;00 00;@42†EB04 Illusory Army†@40†Fans believe that he will win in three minutes someday†Continue to support.†@41†Ryota-H
0xD4A7A4;0x0097DDA4;00 00 00 00;@42†BT02 Dragon Soul Chaos Dance†@40†3 minutes! I'll defeat you in 3 minutes!†@41†Ryo-ta.H
0xD494C0;0x0097DE54;00 00 00 00;@42†BT01 Knight King's Arrival†@40†Protected by the rainbow barrier, the brand new†Malice.†@41†Ryo-ta.H
0xD4DCA8;0x0097DF28;00 00 00 00;@42†BT05 Dual Sword Awakening†@40†Because it's fun to steal. Money, anyway, for the poor.†I'll show you my strength!†@41†Ryo-ta.H
0xD4B3D4;0x0097DFF4;00 00;@42†BT03 Mage Lord Invasion†@40†Offering both body and soul... that's珍贵†She is kind, too.†@41†Ryo-ta.H
0xD4BA20;0x0097E0C8;00 00;@42†BT03 Mage Lord Invasion†@40†Battle Sisters uphold order. Fight.†Except during battles.†@41†Ryo-ta.H
0xD70AD8;0x0097E188;00 00;@42†ＰＲ†@40†Ah, Companion Knight! The dazzling potential of†Shimmering.†@41†Ryo-ta.H
0xD4309C;0x0097E230;00 00 00 00;@42†TD01 Holy Realm Sword Saint†@40†Beautiful roses have thorns, you know.†@41†Ryo-ta.H
0xD49BDC;0x0097E2D0;00 00;@42†BT02 Dragon Soul Chaos Dance†@40†The young knights soaring through the sky. The future belongs to him.†Alone but not lonely.†@41†Ryo-ta.H
0xD4C4E4;0x0097E3C0;00 00 00 00;@42†BT04 Shadow Devourer†@40†Criminal syndicates always boost their revenue.†@41†Ryo-ta.H
0xD62B34;0x0097E484;00 00 00 00;@42†MBT01 Neon Messiahs†@40†Blessing upon the Knight of Exploration!†@41†BISAI
0xD5C1C8;0x0097E510;00 00;@42†BT15 Infinite Rebirth†@40†Rise, warriors, with the flame of rebirth...†…｡†@41†BISAI
0xD5F3F4;0x0097E5CC;00 00 00 00;@42†BT17 Inferno Dance†@40†A gun with low recoil and high attack power.†Stuck enemy.†@41†BISAI
0xD5F428;0x0097E6C8;00 00;@42†BT17 Inferno Dance†@40†Icy battlefields pierced by gleaming bullets.†@41†BISAI
0xD5EFE4;0x0097E784;00 00;@42†BT17 Inferno Dance†@40†To narrow one's own possibilities is foolishness.†to do so.†@41†BISAI
0xD5B188;0x0097E854;00 00 00 00;@42†BT14 Lightning Glare†@40†It's time to wake up, you sleepyhead.†@41†BISAI
0xD6E33C,0xD6E370;0x0097E8E0;00 00 00 00;@42†G-CB01 Song Maiden Academy†@40††@41†KEI
0xD4AB80;0x0097E940;00 00;@42†BT02 Dragon Soul Chaos Dance†@40†Everyone on the sea, I love you so much!†@41†KEI
0xD6DA18;0x0097E9D0;00 00 00 00;@42†G-CB01 Song Maiden Academy†@40†Is that a dream? Or perhaps an illusion?†@41†KEI
0xD4A020;0x0097EA68;00 00;@42†BT02 Dragon Soul Chaos Dance†@40†Everyone on the sea - are you shining?†@41†KEI
0xD67044;0x0097EAF4;00 00 00 00;@42†EB02 Song Maiden's Banquet†@40†Everyone on the sea - are you shining?†@41†KEI
0xD6ADD0;0x0097EB90;00 00;@42†EB10 Songstress's Duet†@40†Two eyes that fixate on you. They enchant.†Magic of Doubt.†@41†KEI
